,Precio,Combustible,Anyo,Kilometros,Potencia,Vendedor_profesional,Comunidad_Autonoma,Cluster_Marca,Cluster_Modelo
312,16990,Gasolina,2019.0,30242,128.0,True,Castilla_La_Mancha,Standard,otro
313,26750,Diésel,2021.0,0,131.0,True,Castilla_La_Mancha,Standard,sedan_grande
314,16300,Diésel,2020.0,4500,85.0,True,Islas_Baleares,Standard,compacto_pequeno
315,15900,Diésel,2016.0,110114,150.0,True,Comunidad_Valenciana,Standard,suv_pequeno
316,17900,Gasolina,2018.0,37800,120.0,True,Comunidad_de_Madrid,Standard,suv_pequeno
317,1800,Gasolina,2001.0,302000,124.13658536585366,False,Canarias,Low_Cost,compacto_grande
318,16300,Gasolina,2019.0,28337,90.0,True,País_Vasco,Standard,suv_pequeno
319,15500,Gasolina,2019.0,12000,100.0,True,Comunidad_Valenciana,Standard,suv_pequeno
320,21900,Diésel,2017.0,47973,150.0,True,Comunidad_de_Madrid,Mid_Premium,sedan_grande
321,6900,Gasolina,2011.0,139500,125.0,False,Catalunya,Standard,compacto_grande
322,14900,Diésel,2017.0,79364,130.0,True,Andalucía,Standard,suv_grande
323,14700,Gasolina,2019.0,39686,110.0,True,Islas_Baleares,Standard,suv_pequeno
324,31300,Gasolina,2020.0,1,150.0,True,Comunidad_de_Madrid,Standard,suv_grande
325,34900,Diésel,2018.0,15000,180.0,True,Región_de_Murcia,Mid_Premium,suv_grande
326,15495,Gasolina,2018.0,82734,115.0,True,Comunidad_Valenciana,Standard,suv_grande
327,21659,Diésel,2019.0,61900,136.0,True,Comunidad_de_Madrid,Standard,furgon_trabajo
329,5590,Diésel,2010.0,160472,90.0,True,Comunidad_de_Madrid,Mid_Premium,compacto_pequeno
330,17200,Diésel,2019.0,10214,115.0,True,Galicia,Standard,suv_pequeno
331,30990,Diésel,2016.0,126000,204.0,True,País_Vasco,Premium,suv_grande
332,24000,Híbrido,2016.0,62000,197.0,False,Andalucía,Premium,otro
333,21000,Híbrido,2016.0,45000,223.0,False,Comunidad_de_Madrid,Premium,otro
